"","GeneID","X1PBSPzneg","X1PBSPzpos","X2PBSPzneg","X2PBSPzpos","X3PBSPzneg","X3PBSPzpos","X4LPSPzneg","X4LPSPzpos","X5LPSPzneg","X5LPSPzpos","X6LPSPzneg","X6LPSPzpos","genesymbol"
"1","ENSMUSG00000000001",6.34539502598975,6.46079452324529,6.3516812012678,6.2419697307605,6.35060269364198,6.3651160394858,6.19971735750716,6.31675258041734,6.21522164666443,6.06879331833335,5.98555697287526,6.07638505197443,"Gnai3"
"2","ENSMUSG00000000028",0.0838467181269191,-0.641985502546051,-1.4170121004207,-0.562997808589656,-1.16884635423881,-1.17541090357956,1.49880345857597,1.76516717854438,1.80201304478778,2.31023949897211,1.26982234958143,1.83532480278273,"Cdc45"
"3","ENSMUSG00000000056",5.80415063916561,5.51299589042235,5.96934786706166,5.87994568725907,5.88746879071298,6.00683737631288,5.00239139436276,4.77462750779344,5.1712468544535,5.08256036958628,5.11031591798016,4.85284490182575,"Narf"
"4","ENSMUSG00000000058",2.77132412947401,2.28033513363207,2.68344808135851,2.45690174884805,2.87762807556069,2.58887529658616,0.818263297872586,1.15282823889192,-0.038206511175453,1.42656361693935,-1.01775424051516,1.25577579824794,"Cav2"
"5","ENSMUSG00000000078",7.44201233090945,7.66635352759336,7.50528639930935,7.47916820987668,7.67768874929808,7.51047154646137,7.58572219458098,7.45366728337395,7.67935936478228,7.48474594294633,7.63856545856526,7.39129775598088,"Klf6"
"6","ENSMUSG00000000085",5.59201000405162,5.56305883747875,5.73975165294638,5.49669715515315,5.22428869114097,5.58809440615254,4.80710358999904,4.91811910138298,5.30794973876589,5.06960679173573,5.26219766948133,5.08724317642235,"Scmh1"
"7","ENSMUSG00000000088",3.32646694769107,3.60103488017713,3.50093368369682,2.99045371938628,3.78977540452886,3.13373103635196,4.67964767990733,4.5380212272373,4.38480770882622,4.38795216766937,3.7558698242299,4.40757625175433,"Cox5a"
"8","ENSMUSG00000000127",5.50071787453617,5.46248643740764,5.80661836702355,5.49669715515315,5.53489246216338,5.4470716354026,5.786417188938,5.97256688540535,6.14394751989183,6.1277846484171,6.23630174147975,5.88136152170481,"Fer"
"9","ENSMUSG00000000131",6.93341547343829,6.99323526283568,6.95902978264523,6.93684807849355,6.72914311924033,6.9626349754061,6.82411852448855,7.05168151543502,7.07402277907323,7.01617520486806,6.97126451944153,6.88037618640808,"Xpo6"
"10","ENSMUSG00000000134",7.90149971916814,7.75985742805103,7.78548850456648,7.76576021611129,7.72813469488591,7.68713529705626,7.40260807431075,7.25170736446736,7.24391040548048,7.28909184229078,7.26356217827584,7.29352324326058,"Tfe3"
"11","ENSMUSG00000000148",5.88700165165524,5.47729034104353,5.73663736130878,5.74887662163378,5.75228616394549,5.82127026578524,5.66667187372435,5.50673553831035,5.51440061623332,5.50923742461074,5.29886005447574,5.47440025450299,"Brat1"
"12","ENSMUSG00000000149",8.75750502747616,8.70338397236031,8.46174624696122,8.54058142393019,8.64897482784468,8.51530607859032,7.61089761911992,7.54731557326451,7.68112710283882,7.36858243595147,7.48373173854919,7.61273463008679,"Gna12"
"13","ENSMUSG00000000168",4.19091169573066,4.66708738743973,4.14229144512899,4.37036499838005,4.30147358054122,4.29745908938254,4.62984693338538,4.6361807378243,4.37173183344572,4.41892355473721,4.45893240822024,4.47874703405188,"Dlat"
