"","GeneID","genesymbol","LPS Pzneg","LPS Pzpos","PBS Pzneg","PBS Pzpos"
"1","ENSMUSG00000000001","Gnai3",6.13349865901562,6.15397698357504,6.34922630696651,6.35596009783053
"2","ENSMUSG00000000028","Cdc45",1.52354628431506,1.97024382676641,-0.83400391217753,-0.793464738238423
"3","ENSMUSG00000000056","Narf",5.09465138893214,4.90334425973516,5.88698909898008,5.7999263179981
"4","ENSMUSG00000000058","Cav2",-0.0792324846060075,1.2783892180264,2.77746676213107,2.44203739302209
"5","ENSMUSG00000000078","Klf6",7.63454900597618,7.44323699410038,7.54166249317229,7.55199776131047
"6","ENSMUSG00000000085","Scmh1",5.12575033274875,5.02498968984702,5.51868344937966,5.54928346626148
"7","ENSMUSG00000000088","Cox5a",4.27344173765449,4.444516548887,3.53905867863892,3.24173987863846
"8","ENSMUSG00000000127","Fer",6.05555548343653,5.99390435184242,5.61407623457437,5.46875174265446
"9","ENSMUSG00000000131","Xpo6",6.95646860766777,6.98274430223705,6.87386279177462,6.96423943891178
"10","ENSMUSG00000000134","Tfe3",7.30336021935569,7.27810748333958,7.80504097287351,7.73758431373953
"11","ENSMUSG00000000148","Brat1",5.49331084814447,5.49679107247469,5.79197505896984,5.68247907615419
"12","ENSMUSG00000000149","Gna12",7.59191882016931,7.50954421310092,8.62274203409402,8.58642382496027
"13","ENSMUSG00000000168","Dlat",4.48683705835045,4.5112837755378,4.21155890713362,4.44497049173411
"14","ENSMUSG00000000171","Sdhd",4.85856255933784,5.04783353077348,4.77773356293809,4.50477385213153
"15","ENSMUSG00000000184","Ccnd2",4.23444545540751,4.37522315478066,1.66963779794883,3.30146149070455
"16","ENSMUSG00000000194","Gpr107",7.60309169390621,7.51741263380439,7.36975813762423,7.33442913781565
"17","ENSMUSG00000000202","Btbd17",-0.564489337983912,-2.31134945795111,1.11923030545546,1.26739567612992
"18","ENSMUSG00000000204","Slfn4",-0.697959437700747,4.09463696225686,-4.81202371047779,-1.61268766950024
"19","ENSMUSG00000000244","Tspan32",4.24900319824408,4.33656724278103,3.27993999331025,3.35882729123821
"20","ENSMUSG00000000253","Gmpr",3.7610744189678,3.72710033223633,4.6083439766391,4.47786386127302
"21","ENSMUSG00000000275","Trim25",6.5886856392417,6.62179363959737,5.81148920741929,5.99183372322868
"22","ENSMUSG00000000276","Dgke",2.27659594250176,2.33171759461483,2.87869735490406,2.88408004304524
"23","ENSMUSG00000000278","Scpep1",5.62773431799817,5.75767487929982,5.942423230756,5.95766634656262
"24","ENSMUSG00000000282","Mnt",5.74252701968702,5.76849703811901,6.80918335904629,6.92036290180491
"25","ENSMUSG00000000290","Itgb2",9.57535701956385,9.5579842897706,8.64486472150174,8.61847804224527
"26","ENSMUSG00000000295","Hddc2",1.89290872230872,1.57296870545146,1.14748427484464,1.26300368778278
"27","ENSMUSG00000000318","Clec10a",-3.85409685624225,-0.329209804686059,-4.28370287690408,1.45454326335574
"28","ENSMUSG00000000325","Arvcf",4.83473266125028,4.71798554061184,6.29445100871559,6.20862101896036
"29","ENSMUSG00000000326","Comt",6.75794435547191,6.72598619167417,7.05789419882385,6.78753486375557
"30","ENSMUSG00000000339","Rtca",2.9527211177153,3.1085898868441,2.83989263742902,2.53226918365652
"31","ENSMUSG00000000340","Dbt",3.83550236369761,3.84890586717949,3.9485327063937,3.95579579332782
"32","ENSMUSG00000000346","Dazap2",6.80171769755063,6.99916627689982,7.12894546818831,7.19108759091712
"33","ENSMUSG00000000355","Mcts1",3.54732673389415,3.70850561444098,2.92019162188524,3.19598749245996
"34","ENSMUSG00000000365","Rnf17",1.90789751547469,1.74953240872399,1.27723589642058,1.61332880255509
"35","ENSMUSG00000000374","Trappc10",6.62755013180606,6.58237951329313,6.61434649326222,6.56592964270578
"36","ENSMUSG00000000378","Ccm2",4.69603694338559,4.7434122451303,5.36906780983968,5.42556586905043
"37","ENSMUSG00000000384","Tbrg4",4.87665716503811,4.99106904420476,4.16838830033352,4.11599637010421
"38","ENSMUSG00000000386","Mx1",4.46394256659048,4.92066666424421,0.258340058786563,1.64424948146656
"39","ENSMUSG00000000399","Ndufa9",5.23667642661471,5.20767064782358,4.99632937176954,4.9978158022232
"40","ENSMUSG00000000420","Galnt1",7.68949305899551,7.58758783234827,7.60780104044129,7.60744098151514
"41","ENSMUSG00000000439","Mkrn2",4.55654716917289,4.37588622034013,4.67525852335103,4.74371947767896
"42","ENSMUSG00000000441","Raf1",5.98915922808635,6.14627883616182,6.08152631729145,6.14111239365726
"43","ENSMUSG00000000489","Pdgfb",7.85635982639774,7.72035894263969,8.30738636943206,8.19119720192109
"44","ENSMUSG00000000530","Acvrl1",5.19976548234675,5.2313756639749,4.7820024305214,4.80674788939969
"45","ENSMUSG00000000532","Acvr1b",5.99749016662644,5.9351706376421,5.79786040942448,5.71524483894221
"46","ENSMUSG00000000538","Tom1l2",4.61052426276648,4.67346935147002,4.96657256576221,5.05970121008531
"47","ENSMUSG00000000552","Zfp385a",6.11267699717544,6.22189162537211,6.76694575918428,6.70349551031334
"48","ENSMUSG00000000555","Itga5",6.52308942421955,6.61246533590487,5.01135306000429,5.11683475606711
"49","ENSMUSG00000000561","Wdr77",5.55903689219384,5.37525501788512,5.34676647095418,5.27089808556337
"50","ENSMUSG00000000562","Adora3",7.64267499730473,7.36266193152667,7.32299116908587,7.13690204278811
"51","ENSMUSG00000000563","Atp5f1",6.20836577388004,6.29778160489962,5.96110817862009,5.97619544586998
"52","ENSMUSG00000000568","Hnrnpd",6.66276346507129,6.582256736936,6.21702099707883,6.18597391823794
"53","ENSMUSG00000000579","Dynlt1c",3.4540041635888,3.28731501768736,3.8889695673234,3.78403293797227
"54","ENSMUSG00000000581","C1d",3.96466267014801,3.85935207589715,4.04247318471082,4.03084004951054
"55","ENSMUSG00000000594","Gm2a",7.64146829236867,7.71977927351935,7.16360776390457,7.21240224523147
"56","ENSMUSG00000000600","Krit1",6.34657430533272,6.22801524284296,6.42576054714136,6.42495015517534
"57","ENSMUSG00000000605","Clcn4",7.2438820001238,7.02663099298843,7.47360795683999,7.43615299545311
"58","ENSMUSG00000000628","Hk2",9.10619943906119,8.92236201013272,8.78758829666557,8.86388946825964
"59","ENSMUSG00000000631","Myo18a",7.08250977647204,7.2515705539853,7.33473846949615,7.33078491559582
"60","ENSMUSG00000000673","Haao",0.892868362261323,1.47994911086187,1.63799655294513,2.28556164933799
"61","ENSMUSG00000000682","Cd52",5.80755748090201,6.426251894936,4.11958793037389,4.58980155078444
